#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-49.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.1	1.0e+00	<NULL>	<NULL>	<NULL>	      1
-10.5	4.9e-02	1.00000	1.00000	0.0497847	0.0580306
-10.4	4.8e-02	1.00000	1.00000	0.048891	0.0570969
-10.3	4.8e-02	1.00000	1.00000	0.0479916	0.056171
-10.2	4.7e-02	1.00000	1.00000	0.0470856	0.0552238
-10.1	4.6e-02	1.00000	1.00000	0.0461721	0.0542784
-10	4.5e-02	1.00000	1.00000	0.0452707	0.0533219
-9.9	4.4e-02	1.00000	1.00000	0.0443644	0.052363
-9.8	4.3e-02	1.00000	1.00000	0.0434511	0.0513934
-9.7	4.2e-02	1.00000	1.00000	0.042534	0.0504211
-9.6	4.1e-02	1.00000	1.00000	0.0415915	0.0494408
-9.5	4.0e-02	1.00000	1.00000	0.0406712	0.0484476
-9.4	3.9e-02	1.00000	1.00000	0.0397651	0.0474628
-9.3	3.8e-02	1.00000	1.00000	0.0388453	0.0464773
-9.2	3.7e-02	1.00000	1.00000	0.0379271	0.0455018
-9.1	3.6e-02	1.00000	1.00000	0.0370263	0.0445203
-9	3.5e-02	1.00000	1.00000	0.036117	0.0435445
-8.9	3.5e-02	1.00000	1.00000	0.0352179	0.0425677
-8.8	3.4e-02	1.00000	1.00000	0.0343231	0.0415925
-8.7	3.3e-02	1.00000	1.00000	0.0334419	0.0406358
-8.6	3.2e-02	1.00000	1.00000	0.0325728	0.0396737
-8.5	3.1e-02	1.00000	1.00000	0.0317193	0.0387118
-8.4	3.0e-02	1.00000	1.00000	0.030869	0.0377664
-8.3	3.0e-02	1.00000	1.00000	0.0300285	0.0368293
-8.2	2.9e-02	1.00000	1.00000	0.0292049	0.0358926
-8.1	2.8e-02	1.00000	1.00000	0.0283912	0.0349667
-8	2.7e-02	1.00000	1.00000	0.0275883	0.0340518
-7.9	2.6e-02	1.00000	1.00000	0.0267995	0.0331363
-7.8	2.6e-02	1.00000	1.00000	0.0260181	0.0322366
