#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.4	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.1	<NULL>	<NULL>	<NULL>	<NULL>	      1
-20.9	3.5e-01	1.00000	1.00000	0.372818	0.370277
-20.8	3.5e-01	1.00000	1.00000	0.368794	0.366158
-20.7	3.4e-01	1.00000	1.00000	0.364786	0.362096
-20.6	3.4e-01	1.00000	1.00000	0.360749	0.358134
-20.5	3.4e-01	1.00000	1.00000	0.356717	0.35421
-20.4	3.3e-01	1.00000	1.00000	0.352712	0.350325
-20.3	3.3e-01	1.00000	1.00000	0.348835	0.346545
-20.2	3.3e-01	1.00000	1.00000	0.345079	0.342749
-20.1	3.2e-01	1.00000	1.00000	0.341294	0.339024
-20	3.2e-01	1.00000	1.00000	0.337564	0.335264
-19.9	3.1e-01	1.00000	1.00000	0.333798	0.331558
-19.8	3.1e-01	1.00000	1.00000	0.330019	0.327891
-19.7	3.1e-01	1.00000	1.00000	0.326165	0.32427
-19.6	3.0e-01	1.00000	1.00000	0.322432	0.32063
-19.5	3.0e-01	1.00000	1.00000	0.31882	0.317084
-19.4	3.0e-01	1.00000	1.00000	0.31515	0.313583
-19.3	2.9e-01	1.00000	1.00000	0.311562	0.310136
-19.2	2.9e-01	1.00000	1.00000	0.308086	0.306709
-19.1	2.9e-01	1.00000	1.00000	0.30471	0.303287
-19	2.8e-01	1.00000	1.00000	0.301473	0.299927
-18.9	2.8e-01	1.00000	1.00000	0.298192	0.296492
-18.8	2.7e-01	1.00000	1.00000	0.294923	0.293182
-18.7	2.7e-01	1.00000	1.00000	0.291645	0.289818
-18.6	2.7e-01	1.00000	1.00000	0.288391	0.286585
-18.5	2.6e-01	1.00000	1.00000	0.285213	0.283336
-18.4	2.6e-01	1.00000	1.00000	0.282013	0.280141
-18.3	2.6e-01	1.00000	1.00000	0.278779	0.277017
-18.2	2.6e-01	1.00000	1.00000	0.275624	0.273833
-18.1	2.5e-01	1.00000	1.00000	0.272433	0.270662
-18	2.5e-01	1.00000	1.00000	0.269305	0.267525
