#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.9	1.0e+00	<NULL>	<NULL>	1	<NULL>
-32.2	8.4e-01	1.00000	1.00000	0.842106	0.846759
-32.1	8.3e-01	1.00000	1.00000	0.83913	0.843749
-32	8.3e-01	1.00000	1.00000	0.836126	0.840683
-31.9	8.3e-01	1.00000	1.00000	0.833013	0.837552
-31.8	8.2e-01	1.00000	1.00000	0.829859	0.834365
-31.7	8.2e-01	1.00000	1.00000	0.826686	0.831119
-31.6	8.2e-01	1.00000	1.00000	0.823328	0.827806
-31.5	8.1e-01	1.00000	1.00000	0.81988	0.824504
-31.4	8.1e-01	1.00000	1.00000	0.816361	0.821128
-31.3	8.0e-01	1.00000	1.00000	0.812691	0.817571
-31.2	8.0e-01	1.00000	1.00000	0.808933	0.813873
-31.1	8.0e-01	1.00000	1.00000	0.805171	0.810038
-31	7.9e-01	1.00000	1.00000	0.801363	0.806176
-30.9	7.9e-01	1.00000	1.00000	0.797505	0.802305
-30.8	7.9e-01	1.00000	1.00000	0.793537	0.798359
-30.7	7.8e-01	1.00000	1.00000	0.789513	0.794354
-30.6	7.8e-01	1.00000	1.00000	0.785348	0.790333
-30.5	7.7e-01	1.00000	1.00000	0.781076	0.786235
-30.4	7.7e-01	1.00000	1.00000	0.776768	0.782229
-30.3	7.6e-01	1.00000	1.00000	0.77242	0.777959
-30.2	7.6e-01	1.00000	1.00000	0.768019	0.773811
-30.1	7.5e-01	1.00000	1.00000	0.763613	0.769536
-30	7.5e-01	1.00000	1.00000	0.759136	0.765356
-29.9	7.5e-01	1.00000	1.00000	0.754693	0.761078
-29.8	7.4e-01	1.00000	1.00000	0.750202	0.756739
-29.7	7.4e-01	1.00000	1.00000	0.745699	0.752386
-29.6	7.3e-01	1.00000	1.00000	0.74121	0.74798
-29.5	7.3e-01	1.00000	1.00000	0.736699	0.743667
-29.4	7.2e-01	1.00000	1.00000	0.732203	0.739313
-29.3	7.2e-01	1.00000	1.00000	0.727709	0.734965
-29.2	7.1e-01	1.00000	1.00000	0.723209	0.730593
-29.1	7.1e-01	1.00000	1.00000	0.718843	0.726236
-29	7.0e-01	1.00000	1.00000	0.714414	0.721893
-28.9	7.0e-01	1.00000	1.00000	0.710113	0.717488
-28.8	6.9e-01	1.00000	1.00000	0.705818	0.713088
